season,week,team,attempts,carries,passing_yards,rushing_yards,receiving_yards,total_plays,pass_rate,total_yards,yards_per_play,pass_yards_per_play,rush_yards_per_play
2023,2,ATL,32,45,237.0,211.0,237.0,77,0.4155844155844156,685.0,8.896103896103897,7.40625,4.688888888888889
2023,2,BAL,33,37,237.0,178.0,237.0,70,0.4714285714285714,652.0,9.314285714285715,7.181818181818182,4.8108108108108105
2023,2,BUF,37,35,274.0,183.0,271.0,72,0.5138888888888888,728.0,10.11111111111111,7.405405405405405,5.228571428571429
2023,2,CAR,33,19,153.0,100.0,153.0,52,0.6346153846153846,406.0,7.8076923076923075,4.636363636363637,5.2631578947368425
2023,2,CHI,29,16,211.0,67.0,211.0,45,0.6444444444444445,489.0,10.866666666666667,7.275862068965517,4.1875
2023,2,CIN,41,15,222.0,66.0,222.0,56,0.7321428571428571,510.0,9.107142857142858,5.414634146341464,4.4
2023,2,CLE,40,35,235.0,198.0,235.0,75,0.5333333333333333,668.0,8.906666666666666,5.875,5.6571428571428575
2023,2,DAL,38,44,255.0,134.0,255.0,82,0.4634146341463415,644.0,7.853658536585366,6.7105263157894735,3.0454545454545454
2023,2,DEN,32,22,308.0,119.0,308.0,54,0.5925925925925926,735.0,13.61111111111111,9.625,5.409090909090909
2023,2,DET,35,27,323.0,102.0,323.0,62,0.5645161290322581,748.0,12.064516129032258,9.228571428571428,3.7777777777777777
2023,2,GB,25,21,151.0,84.0,151.0,46,0.5434782608695652,386.0,8.391304347826088,6.04,4.0
2023,2,HOU,47,24,384.0,50.0,384.0,71,0.6619718309859155,818.0,11.52112676056338,8.170212765957446,2.0833333333333335
2023,2,IND,33,23,227.0,126.0,227.0,56,0.5892857142857143,580.0,10.357142857142858,6.878787878787879,5.478260869565218
2023,2,JAX,42,18,215.0,74.0,215.0,60,0.7,504.0,8.4,5.119047619047619,4.111111111111111
2023,2,KC,41,22,305.0,101.0,305.0,63,0.6507936507936508,711.0,11.285714285714286,7.439024390243903,4.590909090909091
2023,2,LA,55,22,307.0,89.0,307.0,77,0.7142857142857143,703.0,9.12987012987013,5.581818181818182,4.045454545454546
2023,2,LAC,41,21,305.0,61.0,305.0,62,0.6612903225806451,671.0,10.82258064516129,7.439024390243903,2.9047619047619047
2023,2,LV,24,15,185.0,55.0,185.0,39,0.6153846153846154,425.0,10.897435897435898,7.708333333333333,3.6666666666666665
2023,2,MIA,30,30,249.0,145.0,249.0,60,0.5,643.0,10.716666666666667,8.3,4.833333333333333
2023,2,MIN,44,9,364.0,28.0,364.0,53,0.8301886792452831,756.0,14.264150943396226,8.272727272727273,3.111111111111111
2023,2,NE,42,25,231.0,88.0,228.0,67,0.6268656716417911,547.0,8.164179104477611,5.5,3.52
2023,2,NO,37,33,236.0,134.0,236.0,70,0.5285714285714286,606.0,8.657142857142857,6.378378378378378,4.0606060606060606
2023,2,NYG,37,27,321.0,127.0,321.0,64,0.578125,769.0,12.015625,8.675675675675675,4.703703703703703
2023,2,NYJ,27,15,170.0,60.0,170.0,42,0.6428571428571429,400.0,9.523809523809524,6.296296296296297,4.0
2023,2,PHI,23,48,193.0,259.0,193.0,71,0.323943661971831,645.0,9.084507042253522,8.391304347826088,5.395833333333333
2023,2,PIT,30,21,222.0,55.0,222.0,51,0.5882352941176471,499.0,9.784313725490197,7.4,2.619047619047619
2023,2,SEA,41,25,328.0,82.0,328.0,66,0.6212121212121212,738.0,11.181818181818182,8.0,3.28
2023,2,SF,25,28,206.0,159.0,206.0,53,0.4716981132075472,571.0,10.773584905660377,8.24,5.678571428571429
2023,2,TB,34,34,317.0,120.0,317.0,68,0.5,754.0,11.088235294117647,9.323529411764707,3.5294117647058822
2023,2,TEN,24,34,246.0,141.0,246.0,58,0.41379310344827586,633.0,10.913793103448276,10.25,4.147058823529412
2023,2,WAS,39,23,299.0,122.0,299.0,62,0.6290322580645161,720.0,11.612903225806452,7.666666666666667,5.304347826086956
2023,3,ARI,21,30,189.0,222.0,189.0,51,0.4117647058823529,600.0,11.764705882352942,9.0,7.4
2023,3,ATL,38,20,201.0,44.0,201.0,58,0.6551724137931034,446.0,7.689655172413793,5.2894736842105265,2.2
2023,3,BAL,31,37,202.0,186.0,202.0,68,0.45588235294117646,590.0,8.676470588235293,6.516129032258065,5.027027027027027
2023,3,BUF,32,33,218.0,168.0,218.0,65,0.49230769230769234,604.0,9.292307692307693,6.8125,5.090909090909091
2023,3,CAR,58,14,361.0,44.0,361.0,72,0.8055555555555556,766.0,10.63888888888889,6.224137931034483,3.142857142857143
2023,3,CHI,22,26,99.0,116.0,99.0,48,0.4583333333333333,314.0,6.541666666666667,4.5,4.461538461538462
2023,3,CIN,49,23,259.0,67.0,259.0,72,0.6805555555555556,585.0,8.125,5.285714285714286,2.9130434782608696
2023,3,CLE,33,31,289.0,78.0,289.0,64,0.515625,656.0,10.25,8.757575757575758,2.5161290322580645
2023,3,DAL,40,32,249.0,176.0,237.0,72,0.5555555555555556,662.0,9.194444444444445,6.225,5.5
2023,3,DEN,38,20,306.0,69.0,306.0,58,0.6551724137931034,681.0,11.741379310344827,8.052631578947368,3.45
