week,defteam,pass_yards_allowed,rush_yards_allowed,pass_td_allowed,rush_td_allowed,rec_td_allowed,total_yards_allowed,fantasy_points_allowed,plays_against
1,DET,317.0,83.0,1.0,1.0,1,387.0,K.WilliamsD.RobinsonC.KuppC.KuppC.KuppC.ParkinsonC.KuppK.WilliamsP.NacuaC.KuppD.RobinsonC.ParkinsonD.AllenK.WilliamsP.NacuaR.RiversC.ParkinsonR.RiversP.NacuaC.KuppP.NacuaK.WilliamsC.KuppP.NacuaC.KuppK.WilliamsK.WilliamsK.WilliamsC.KuppT.JohnsonC.ParkinsonK.WilliamsC.KuppD.RobinsonT.JohnsonK.WilliamsT.JohnsonC.KuppK.WilliamsK.WilliamsC.KuppC.KuppT.JohnsonK.WilliamsK.WilliamsD.RobinsonC.KuppK.WilliamsC.KuppK.WilliamsK.WilliamsT.JohnsonC.KuppD.RobinsonK.WilliamsJ.WhittingtonK.WilliamsC.KuppC.KuppC.ParkinsonT.JohnsonC.KuppD.RobinsonK.WilliamsC.KuppK.WilliamsD.RobinsonC.KuppC.KuppT.JohnsonD.RobinsonK.WilliamsK.WilliamsC.KuppC.Kupp,93
1,GB,278.0,144.0,2.0,2.0,2,410.0,S.BarkleyA.BrownD.SmithS.BarkleyD.GoedertJ.HurtsD.GoedertS.BarkleyA.BrownJ.HurtsD.SmithD.SmithJ.HurtsS.BarkleyS.BarkleyS.BarkleyS.BarkleyA.BrownJ.HurtsD.SmithS.BarkleyJ.HurtsJ.HurtsS.BarkleyA.BrownA.BrownS.BarkleyD.GoedertS.BarkleyJ.WilsonJ.HurtsD.SmithK.GainwellK.GainwellD.GoedertS.BarkleyA.BrownD.GoedertS.BarkleyS.BarkleyJ.HurtsD.SmithS.BarkleyS.BarkleyS.BarkleyS.BarkleyA.BrownG.CalcaterraA.BrownJ.HurtsJ.DotsonA.BrownS.BarkleyS.BarkleyS.BarkleyJ.HurtsK.GainwellA.BrownJ.HurtsS.BarkleyJ.HurtsS.BarkleyD.SmithS.BarkleyD.SmithS.BarkleyS.BarkleyJ.Hurts,95
1,HOU,212.0,104.0,2.0,2.0,2,303.0,J.TaylorM.PittmanJ.TaylorM.PittmanJ.TaylorA.MitchellA.RichardsonJ.TaylorA.PierceM.PittmanM.PittmanA.RichardsonA.MitchellA.MitchellM.PittmanJ.TaylorJ.TaylorA.RichardsonJ.TaylorJ.TaylorJ.TaylorA.MitchellA.PierceA.RichardsonJ.TaylorK.GransonJ.TaylorJ.TaylorJ.TaylorJ.TaylorA.MitchellM.PittmanM.PittmanJ.TaylorA.DulinA.MitchellM.PittmanA.PierceA.RichardsonM.Alie-CoxJ.TaylorJ.TaylorA.Richardson,59
1,IND,234.0,213.0,2.0,1.0,2,417.0,T.DellJ.MixonC.StroudB.JordanJ.MixonS.DiggsD.SchultzJ.MixonT.DellS.DiggsJ.MixonS.DiggsJ.MixonJ.MixonN.CollinsD.PierceT.DellS.DiggsJ.MixonJ.MixonN.CollinsJ.MixonJ.MixonJ.MixonN.CollinsD.SchultzN.CollinsN.CollinsD.SchultzJ.MixonS.DiggsJ.MixonT.DellT.DellJ.MixonD.OgunbowaleJ.MixonD.SchultzJ.MixonT.DellX.HutchinsonB.JordanJ.MixonJ.MixonN.CollinsT.DellJ.MixonJ.MixonN.CollinsJ.MixonJ.MixonS.DiggsJ.MixonD.SchultzJ.MixonJ.MixonJ.MixonT.DellD.PierceD.PierceT.DellJ.MixonJ.MixonJ.MixonC.StroudS.DiggsJ.MixonJ.MixonN.CollinsJ.MixonJ.MixonJ.MixonC.StroudC.Stroud,97
1,JAX,338.0,81.0,1.0,1.0,1,400.0,R.MostertD.AchaneD.AchaneT.HillT.HillB.BerriosR.MostertD.AchaneT.HillT.HillJ.SmithT.HillD.AchaneT.TagovailoaJ.SmithT.HillJ.WaddleB.BerriosD.SmytheB.BerriosD.AchaneD.AchaneB.BerriosD.AchaneT.TagovailoaR.MostertD.SmytheJ.WaddleD.SmytheD.AchaneT.HillJ.WaddleD.AchaneD.AchaneJ.HillJ.WaddleR.MostertR.MostertT.HillD.AchaneJ.WaddleR.MostertT.HillT.HillD.AchaneA.IngoldR.MostertD.AchaneJ.WaddleR.MostertT.HillR.MostertJ.WilsonJ.WilsonJ.WilsonA.IngoldJ.WilsonR.MostertD.AchaneT.HillD.AchaneJ.WaddleD.AchaneD.AchaneA.IngoldJ.WilsonJ.Wilson,86
1,KC,273.0,185.0,1.0,1.0,1,452.0,D.HenryZ.FlowersJ.HillJ.HillD.HenryD.HenryZ.FlowersZ.FlowersD.HenryD.HenryL.JacksonL.JacksonD.HenryI.LikelyD.HenryZ.FlowersJ.HillZ.FlowersD.HenryI.LikelyZ.FlowersL.JacksonL.JacksonZ.FlowersZ.FlowersZ.FlowersD.HenryL.JacksonL.JacksonM.AndrewsZ.FlowersR.BatemanJ.HillL.JacksonL.JacksonI.LikelyI.LikelyZ.FlowersJ.HillJ.HillJ.HillZ.FlowersZ.FlowersJ.HillM.AndrewsD.HenryI.LikelyZ.FlowersD.HenryR.BatemanD.HenryD.HenryL.JacksonL.JacksonL.JacksonI.LikelyZ.FlowersI.LikelyL.JacksonD.HenryL.JacksonR.BatemanN.AgholorM.AndrewsD.HenryL.JacksonL.JacksonI.LikelyL.JacksonR.BatemanI.LikelyL.JacksonJ.HillI.LikelyR.BatemanI.LikelyZ.FlowersI.Likely,96
1,LA,217.0,163.0,1.0,2.0,1,363.0,D.MontgomeryA.St. BrownD.MontgomeryJ.GibbsD.MontgomeryD.MontgomeryD.MontgomeryD.MontgomeryD.MontgomeryJ.WilliamsA.St. BrownD.MontgomeryS.LaPortaA.St. BrownD.MontgomeryS.LaPortaJ.WilliamsJ.WilliamsJ.GibbsJ.WilliamsJ.GibbsJ.GibbsJ.GibbsB.WrightJ.GibbsD.MontgomeryD.MontgomeryJ.WilliamsD.MontgomeryD.MontgomeryJ.WilliamsJ.GibbsJ.GibbsS.LaPortaJ.GibbsS.LaPortaJ.GoffJ.WilliamsJ.GibbsA.St. BrownA.St. BrownJ.WilliamsJ.WilliamsJ.GibbsS.LaPortaJ.GibbsJ.GibbsJ.GibbsA.St. BrownJ.WilliamsJ.GibbsK.RaymondD.MontgomeryD.MontgomeryJ.GibbsJ.GibbsD.MontgomeryD.MontgomeryD.Montgomery,79
1,LAC,257.0,71.0,1.0,0.0,1,296.0,J.MeyersZ.WhiteZ.WhiteD.AdamsZ.WhiteT.TuckerZ.WhiteJ.MeyersA.MattisonD.AdamsB.BowersA.MattisonD.AdamsA.MattisonA.MattisonM.MayerG.Minshew IIZ.WhiteB.BowersM.MayerB.BowersM.MayerZ.WhiteA.MattisonT.TuckerA.MattisonB.BowersZ.WhiteG.Minshew IID.AdamsZ.WhiteZ.WhiteZ.WhiteZ.WhiteA.MattisonZ.WhiteD.AdamsZ.WhiteG.Minshew IID.AdamsB.BowersB.BowersJ.MeyersA.MattisonD.TurnerZ.WhiteZ.WhiteA.MattisonJ.MeyersB.BowersB.BowersA.MattisonT.TuckerJ.MeyersA.Mattison,74
1,LV,144.0,176.0,1.0,1.0,1,316.0,W.DisslyG.EdwardsG.EdwardsJ.DobbinsH.HurstQ.JohnstonG.EdwardsG.EdwardsL.McConkeyQ.JohnstonQ.JohnstonJ.DobbinsL.McConkeyL.McConkeyG.EdwardsJ.DobbinsJ.HerbertD.DavisG.EdwardsJ.DobbinsG.EdwardsJ.PalmerJ.PalmerJ.DobbinsQ.JohnstonL.McConkeyJ.DobbinsJ.DobbinsJ.DobbinsH.HurstL.McConkeyD.DavisJ.DobbinsJ.PalmerH.HurstG.EdwardsJ.PalmerG.EdwardsJ.DobbinsS.MatlockG.EdwardsQ.JohnstonG.EdwardsL.McConkeyJ.DobbinsJ.DobbinsJ.DobbinsG.EdwardsG.EdwardsL.McConkeyG.EdwardsJ.HerbertJ.HerbertJ.Herbert,78
1,MIA,162.0,128.0,1.0,1.0,1,267.0,T.EtienneE.EngramT.BigsbyT.BigsbyG.DavisT.EtienneT.LawrenceB.ThomasT.EtienneT.EtienneB.ThomasT.EtienneT.EtienneC.KirkT.BigsbyT.BigsbyC.KirkB.ThomasT.EtienneT.EtienneT.EtienneB.ThomasB.ThomasG.DavisE.EngramE.EngramT.BigsbyP.WashingtonE.EngramC.KirkT.EtienneT.EtienneT.BigsbyG.DavisT.EtienneT.BigsbyD.DuvernayT.EtienneT.BigsbyT.EtienneT.BigsbyT.EtienneE.EngramT.EtienneT.BigsbyT.BigsbyC.KirkT.Bigsby,72
