game_id,home_team,away_team,spread_line,total_line,week,home_favorite,implied_home_score,implied_away_score
2024_06_SF_SEA,SEA,SF,-3.5,49.0,6,True,22.75,26.25
2024_06_JAX_CHI,CHI,JAX,-1.5,44.5,6,True,21.5,23.0
2024_06_WAS_BAL,BAL,WAS,6.5,51.5,6,False,29.0,22.5
2024_06_ARI_GB,GB,ARI,5.5,47.0,6,False,26.25,20.75
2024_06_HOU_NE,NE,HOU,-6.5,38.5,6,True,16.0,22.5
2024_06_TB_NO,NO,TB,-3.5,42.5,6,True,19.5,23.0
2024_06_CLE_PHI,PHI,CLE,8.0,42.0,6,False,25.0,17.0
2024_06_IND_TEN,TEN,IND,2.5,42.0,6,False,22.25,19.75
2024_06_LAC_DEN,DEN,LAC,-3.0,37.0,6,True,17.0,20.0
2024_06_PIT_LV,LV,PIT,-3.5,36.5,6,True,16.5,20.0
2024_06_ATL_CAR,CAR,ATL,-6.0,45.5,6,True,19.75,25.75
2024_06_DET_DAL,DAL,DET,-3.5,52.5,6,True,24.5,28.0
2024_06_CIN_NYG,NYG,CIN,-4.5,46.0,6,True,20.75,25.25
2024_06_BUF_NYJ,NYJ,BUF,-1.0,42.0,6,True,20.5,21.5
2024_07_DEN_NO,NO,DEN,-2.5,37.0,7,True,17.25,19.75
2024_07_NE_JAX,JAX,NE,6.5,42.0,7,False,24.25,17.75
2024_07_SEA_ATL,ATL,SEA,3.0,51.5,7,False,27.25,24.25
2024_07_TEN_BUF,BUF,TEN,9.5,41.0,7,False,25.25,15.75
2024_07_CIN_CLE,CLE,CIN,-5.5,42.0,7,True,18.25,23.75
2024_07_HOU_GB,GB,HOU,3.0,48.0,7,False,25.5,22.5
2024_07_MIA_IND,IND,MIA,3.0,44.0,7,False,23.5,20.5
2024_07_DET_MIN,MIN,DET,1.0,50.5,7,False,25.75,24.75
2024_07_PHI_NYG,NYG,PHI,-3.0,42.0,7,True,19.5,22.5
2024_07_LV_LA,LA,LV,7.0,43.0,7,False,25.0,18.0
2024_07_CAR_WAS,WAS,CAR,10.0,51.0,7,False,30.5,20.5
2024_07_KC_SF,SF,KC,2.5,47.5,7,False,25.0,22.5
2024_07_NYJ_PIT,PIT,NYJ,-3.0,40.0,7,True,18.5,21.5
2024_07_BAL_TB,TB,BAL,-4.5,51.0,7,True,23.25,27.75
2024_07_LAC_ARI,ARI,LAC,-1.0,44.0,7,True,21.5,22.5
2024_08_MIN_LA,LA,MIN,-3.0,47.5,8,True,22.25,25.25
2024_08_PHI_CIN,CIN,PHI,2.5,47.5,8,False,25.0,22.5
2024_08_BAL_CLE,CLE,BAL,-7.5,44.5,8,True,18.5,26.0
2024_08_TEN_DET,DET,TEN,12.5,45.0,8,False,28.75,16.25
2024_08_IND_HOU,HOU,IND,5.0,45.0,8,False,25.0,20.0
2024_08_GB_JAX,JAX,GB,-3.5,49.0,8,True,22.75,26.25
2024_08_ARI_MIA,MIA,ARI,4.0,46.5,8,False,25.25,21.25
2024_08_NYJ_NE,NE,NYJ,-7.0,41.0,8,True,17.0,24.0
2024_08_ATL_TB,TB,ATL,-1.5,47.0,8,True,22.75,24.25
2024_08_NO_LAC,LAC,NO,7.0,41.5,8,False,24.25,17.25
2024_08_BUF_SEA,SEA,BUF,-3.0,45.5,8,True,21.25,24.25
2024_08_CAR_DEN,DEN,CAR,13.0,40.5,8,False,26.75,13.75
2024_08_KC_LV,LV,KC,-9.0,42.0,8,True,16.5,25.5
2024_08_CHI_WAS,WAS,CHI,1.5,46.5,8,False,24.0,22.5
2024_08_DAL_SF,SF,DAL,5.5,48.0,8,False,26.75,21.25
2024_08_NYG_PIT,PIT,NYG,6.0,37.5,8,False,21.75,15.75
2024_09_HOU_NYJ,NYJ,HOU,2.5,43.5,9,False,23.0,20.5
2024_09_DAL_ATL,ATL,DAL,3.0,52.0,9,False,27.5,24.5
2024_09_DEN_BAL,BAL,DEN,9.0,46.5,9,False,27.75,18.75
2024_09_MIA_BUF,BUF,MIA,6.5,49.0,9,False,27.75,21.25
2024_09_NO_CAR,CAR,NO,-7.0,43.5,9,True,18.25,25.25
2024_09_LV_CIN,CIN,LV,8.0,45.0,9,False,26.5,18.5
2024_09_LAC_CLE,CLE,LAC,-2.0,42.5,9,True,20.25,22.25
2024_09_WAS_NYG,NYG,WAS,-4.5,44.5,9,True,20.0,24.5
2024_09_NE_TEN,TEN,NE,3.0,38.5,9,False,20.75,17.75
2024_09_CHI_ARI,ARI,CHI,1.5,44.5,9,False,23.0,21.5
2024_09_JAX_PHI,PHI,JAX,7.5,46.0,9,False,26.75,19.25
2024_09_DET_GB,GB,DET,-2.5,47.5,9,True,22.5,25.0
2024_09_LA_SEA,SEA,LA,-1.5,48.5,9,True,23.5,25.0
2024_09_IND_MIN,MIN,IND,6.5,47.0,9,False,26.75,20.25
2024_09_TB_KC,KC,TB,9.0,45.5,9,False,27.25,18.25
2024_10_CIN_BAL,BAL,CIN,6.0,53.0,10,False,29.5,23.5
2024_10_NYG_CAR,CAR,NYG,-6.5,40.5,10,True,17.0,23.5
2024_10_NE_CHI,CHI,NE,6.5,37.5,10,False,22.0,15.5
2024_10_BUF_IND,IND,BUF,-4.5,46.5,10,True,21.0,25.5
2024_10_MIN_JAX,JAX,MIN,-7.0,42.5,10,True,17.75,24.75
2024_10_DEN_KC,KC,DEN,7.5,42.5,10,False,25.0,17.5
