week,defteam,pass_yards_allowed,rush_yards_allowed,pass_td_allowed,rush_td_allowed,rec_td_allowed,total_yards_allowed,fantasy_points_allowed,plays_against
1,DET,226.0,90.0,2.0,0.0,2,316.0,C.Edwards-HelaireC.Edwards-HelaireJ.McKinnonN.GrayP.MahomesI.PachecoN.GrayJu.WatsonS.MooreI.PachecoP.MahomesI.PachecoM.Valdes-ScantlingR.RiceP.MahomesI.PachecoK.ToneyR.RiceC.Edwards-HelaireP.MahomesN.GrayR.RiceR.JamesR.RiceN.GrayM.Valdes-ScantlingJu.WatsonB.BellI.PachecoI.PachecoB.BellN.GrayK.ToneyC.Edwards-HelaireK.ToneyI.PachecoI.PachecoJu.WatsonR.JamesS.MooreI.PachecoP.MahomesI.PachecoI.PachecoJu.WatsonB.BellS.MooreK.ToneyC.Edwards-HelaireN.GrayC.Edwards-HelaireC.Edwards-HelaireP.MahomesK.ToneyJ.McKinnonJ.RossI.PachecoR.RiceK.ToneyS.MooreS.MooreR.RiceJu.Watson,81
1,GB,216.0,122.0,1.0,1.0,1,313.0,K.HerbertK.HerbertT.ScottK.HerbertC.KmetJ.FieldsD.MooneyK.HerbertK.HerbertJ.FieldsD.ForemanC.ClaypoolD.ForemanJ.FieldsD.ForemanD.ForemanJ.FieldsD.ForemanD.MooreD.MooreC.KmetC.KmetK.HerbertJ.FieldsK.BlasingameJ.FieldsK.HerbertK.HerbertC.KmetD.MooneyK.HerbertD.ForemanR.JohnsonK.HerbertK.HerbertR.JohnsonR.JohnsonD.MooneyR.JohnsonR.JohnsonD.MooneyK.HerbertJ.FieldsC.ClaypoolD.MooneyJ.FieldsK.HerbertK.HerbertK.HerbertC.KmetD.ForemanJ.FieldsD.ForemanC.KmetJ.FieldsD.MooneyR.JohnsonR.JohnsonR.JohnsonR.JohnsonR.JohnsonR.JohnsonD.MooreD.MooneyC.KmetC.KmetR.JohnsonT.Scott,91
1,HOU,169.0,110.0,0.0,3.0,0,267.0,J.DobbinsI.LikelyL.JacksonZ.FlowersZ.FlowersJ.HillR.BatemanZ.FlowersZ.FlowersJ.DobbinsL.JacksonL.JacksonL.JacksonJ.DobbinsJ.DobbinsZ.FlowersZ.FlowersJ.DobbinsO.BeckhamJ.DobbinsJ.DobbinsR.BatemanJ.DobbinsL.JacksonJ.DobbinsL.JacksonO.BeckhamZ.FlowersJ.DobbinsJ.DobbinsZ.FlowersR.BatemanZ.FlowersJ.DobbinsJ.HillG.EdwardsG.EdwardsG.EdwardsL.JacksonO.BeckhamJ.HillJ.HillC.KolarJ.HillO.BeckhamG.EdwardsG.EdwardsZ.FlowersJ.HillG.EdwardsG.EdwardsO.BeckhamO.BeckhamJ.HillZ.FlowersZ.FlowersG.EdwardsG.EdwardsJ.Hill,79
1,IND,241.0,105.0,2.0,2.0,2,342.0,Z.JonesE.EngramC.RidleyT.EtienneC.KirkT.LawrenceC.RidleyC.RidleyT.EtienneJ.AgnewC.RidleyC.RidleyT.EtienneC.RidleyT.EtienneT.BigsbyT.BigsbyT.BigsbyT.BigsbyT.EtienneT.EtienneT.BigsbyT.EtienneC.RidleyJ.AgnewZ.JonesE.EngramT.EtienneZ.JonesC.RidleyD.JohnsonT.EtienneC.RidleyZ.JonesC.RidleyT.EtienneC.KirkE.EngramZ.JonesT.EtienneT.EtienneT.EtienneT.EtienneT.EtienneE.EngramC.RidleyT.EtienneT.EtienneC.KirkT.EtienneT.BigsbyT.LawrenceT.LawrenceT.LawrenceT.EtienneE.EngramT.EtienneC.RidleyT.EtienneZ.JonesT.LawrenceT.BigsbyT.BigsbyT.EtienneZ.JonesT.EtienneT.LawrenceT.Lawrence,85
1,JAX,223.0,65.0,1.0,1.0,1,280.0,J.DownsA.OgletreeD.JacksonJ.DownsD.JacksonD.JacksonK.GransonD.JacksonD.JacksonK.GransonA.RichardsonD.JacksonJ.DownsD.JacksonD.JacksonA.RichardsonA.RichardsonA.RichardsonD.JacksonA.RichardsonA.RichardsonJ.DownsD.JacksonM.PittmanM.Alie-CoxA.OgletreeD.JacksonE.HullA.PierceM.PittmanE.HullA.RichardsonM.PittmanE.HullD.JacksonM.PittmanD.JacksonD.JacksonD.JacksonM.PittmanD.JacksonD.JacksonA.PierceJ.FunkK.GransonD.JacksonD.JacksonM.PittmanJ.DownsK.GransonM.Alie-CoxJ.FunkK.GransonM.PittmanJ.FunkA.RichardsonM.PittmanM.PittmanM.PittmanK.GransonA.PierceJ.DownsM.PittmanA.RichardsonA.RichardsonJ.DownsD.JacksonM.Pittman,89
1,KC,253.0,118.0,1.0,1.0,1,368.0,D.MontgomeryJ.ReynoldsD.MontgomeryM.JonesM.JonesJ.Reeves-MaybinJ.GibbsA.St. BrownJ.ReynoldsD.MontgomeryJ.GibbsA.St. BrownD.MontgomeryD.MontgomeryJ.GibbsA.St. BrownB.WrightJ.GoffD.MontgomeryA.St. BrownD.MontgomeryS.LaPortaD.MontgomeryJ.GibbsF.RagnowJ.GibbsM.JonesD.MontgomeryM.JonesS.LaPortaS.LaPortaJ.ReynoldsM.JonesA.St. BrownM.JonesD.MontgomeryS.LaPortaJ.GibbsA.St. BrownS.LaPortaJ.GibbsA.St. BrownJ.ReynoldsA.St. BrownK.RaymondA.St. BrownD.MontgomeryJ.GibbsJ.ReynoldsB.WrightD.MontgomeryD.MontgomeryJ.ReynoldsD.MontgomeryD.MontgomeryJ.GibbsD.MontgomeryD.MontgomeryD.MontgomeryJ.ReynoldsD.MontgomeryD.MontgomeryD.MontgomeryJ.GoffJ.GoffJ.Goff,87
1,LA,112.0,85.0,1.0,0.0,1,180.0,T.LockettK.WalkerT.LockettK.WalkerK.WalkerD.MetcalfK.WalkerT.LockettK.WalkerK.WalkerT.LockettJ.Smith-NjigbaW.DisslyD.MetcalfK.WalkerG.SmithK.WalkerK.WalkerK.WalkerT.LockettJ.Smith-NjigbaZ.CharbonnetD.MetcalfW.DisslyK.WalkerK.WalkerZ.CharbonnetJ.Smith-NjigbaD.MetcalfD.DallasD.DallasD.DallasK.WalkerC.ParkinsonJ.Smith-NjigbaK.WalkerT.LockettK.WalkerK.WalkerD.MetcalfJ.Smith-NjigbaD.MetcalfK.WalkerC.ParkinsonZ.Charbonnet,68
1,LAC,466.0,70.0,3.0,1.0,3,536.0,T.TagovailoaT.HillJ.WaddleS.AhmedE.EzukanmaT.TagovailoaT.HillR.CracraftR.MostertR.MostertD.SmytheE.EzukanmaB.BerriosR.MostertR.MostertT.HillT.HillR.MostertA.IngoldT.HillD.SmytheJ.WaddleS.AhmedD.SmytheD.SmytheR.MostertD.SmytheJ.WaddleD.SmytheT.HillD.SmytheB.BerriosT.HillT.HillT.HillR.CracraftJ.WaddleE.EzukanmaR.MostertT.TagovailoaR.MostertT.HillR.MostertJ.WaddleS.AhmedR.CracraftB.BerriosT.HillS.AhmedT.TagovailoaB.BerriosA.IngoldB.BerriosT.HillT.HillR.MostertS.AhmedS.AhmedT.HillR.MostertR.CracraftR.CracraftR.MostertT.HillT.TagovailoaT.Tagovailoa,84
1,LV,177.0,94.0,2.0,0.0,2,260.0,A.TrautmanB.JohnsonJ.WilliamsJ.WilliamsJ.WilliamsM.MimsB.JohnsonC.SuttonJ.WilliamsJ.WilliamsG.DulcichS.PerineJ.WilliamsA.TrautmanJ.WilliamsL.HumphreyJ.WilliamsJ.WilliamsL.HumphreyS.PerineR.WilsonJ.McLaughlinJ.McLaughlinJ.McLaughlinS.PerineC.SuttonG.DulcichS.PerineS.PerineS.PerineC.SuttonC.SuttonC.SuttonC.SuttonJ.WilliamsP.DorsettS.PerineJ.WilliamsJ.WilliamsR.WilsonS.PerineS.PerineS.PerineM.MimsJ.WilliamsJ.WilliamsS.PerineJ.WilliamsJ.WilliamsJ.WilliamsM.MimsJ.WilliamsA.TrautmanM.BurtonS.PerineA.TrautmanB.JohnsonJ.WilliamsC.SuttonA.Trautman,77
1,MIA,229.0,233.0,1.0,3.0,1,433.0,A.EkelerK.AllenJ.HerbertJ.KelleyK.AllenA.EkelerG.EverettJ.HerbertA.EkelerJ.KelleyJ.KelleyK.AllenA.EkelerA.EkelerM.WilliamsD.DavisJ.KelleyA.EkelerA.EkelerA.EkelerK.AllenA.EkelerD.ParhamK.AllenJ.KelleyQ.JohnstonJ.PalmerK.AllenQ.JohnstonA.EkelerD.ParhamQ.JohnstonG.EverettJ.HerbertA.EkelerJ.HerbertK.AllenJ.KelleyJ.KelleyJ.KelleyJ.KelleyA.EkelerA.EkelerK.AllenA.EkelerD.ParhamJ.HerbertM.WilliamsK.AllenK.AllenA.EkelerA.EkelerA.EkelerG.EverettJ.KelleyJ.KelleyJ.KelleyD.ParhamJ.KelleyK.AllenK.AllenJ.KelleyJ.KelleyJ.KelleyK.AllenA.EkelerA.EkelerM.WilliamsJ.KelleyK.AllenA.EkelerA.EkelerM.WilliamsG.EverettM.Williams,100
